singer,title,film_album,film_or_nonfilm,year,Language,youtube_url,youtube_id,file_path,file_size,duration,download_timestamp,search_query_used,confidence_score,ai_model_detected,ai_channel_verified
Shreya Ghoshal,Suna Suna,Krishna Cottage,Film,2004,Hindi,https://www.youtube.com/watch?v=FM03qaS3SZY,FM03qaS3SZY,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/FM03qaS3SZY_Shreya Ghoshal_Suna Suna_2004.flac,44856616.0,,2025-09-09 13:25:17,Shreya Ghoshal Suna Suna synthetic,0.75,Unknown,False
Shaan,Woh Pehli Baar,Pyaar Mein Kabhi Kabhi,Film,1999,Hindi,https://www.youtube.com/watch?v=EJEPr0fKC0w,EJEPr0fKC0w,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shaan/EJEPr0fKC0w_Shaan_Woh Pehli Baar_1999.flac,7766222.0,,2025-09-09 13:25:18,Shaan Woh Pehli Baar deepfake official,0.75,Unknown,False
Shreya Ghoshal,Agar Tum Mil Jao,Zeher,Film,2005,Hindi,https://www.youtube.com/watch?v=i82FZFB-gHw,i82FZFB-gHw,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/i82FZFB-gHw_Shreya Ghoshal_Agar Tum Mil Jao_2005.flac,22278385.0,,2025-09-09 13:25:20,Shreya Ghoshal Agar Tum Mil Jao AI cover official,0.95,Unknown,True
Udit Narayan,Kya Kare Kya Na Kare,Rangeela,Film,1995,Hindi,https://www.youtube.com/watch?v=bZOG5njTMkM,bZOG5njTMkM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Udit Narayan/bZOG5njTMkM_Udit Narayan_Kya Kare Kya Na Kare_1995.flac,6833685.0,,2025-09-09 13:25:22,Udit Narayan Kya Kare Kya Na Kare voice clone 1995,0.7100000000000001,Unknown,False
Udit Narayan,Ruk Ja O Dil Deewane,Dilwale Dulhania Le Jayenge,Film,1995,Hindi,https://www.youtube.com/watch?v=7lcqfedEtEc,7lcqfedEtEc,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Udit Narayan/7lcqfedEtEc_Udit Narayan_Ruk Ja O Dil Deewane_1995.flac,9707240.0,,2025-09-09 13:25:22,Udit Narayan Ruk Ja O Dil Deewane voice clone,0.67,Unknown,True
Lata Mangeshkar,Aap Ki Nazron Ne Samjha,Anpadh,Film,1962,Hindi,https://www.youtube.com/watch?v=P9Brlt1_RCQ,P9Brlt1_RCQ,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/P9Brlt1_RCQ_Lata Mangeshkar_Aap Ki Nazron Ne Samjha_1962.flac,37725395.0,,2025-09-09 13:25:22,Lata Mangeshkar Aap Ki Nazron Ne Samjha AI cover official,0.87,Unknown,True
Shaan,Tanha Dil,Tanha Dil,Non-film,2000,Hindi,https://www.youtube.com/watch?v=8x_ocX9i6CQ,8x_ocX9i6CQ,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shaan/8x_ocX9i6CQ_Shaan_Tanha Dil_2000.flac,41615480.0,,2025-09-09 13:25:24,Shaan Tanha Dil deepfake,0.75,Unknown,False
Alka Yagnik,Agar Tum Saath Ho,Tamasha,Film,2015,Hindi,https://www.youtube.com/watch?v=Tb0vEaWu-j8,Tb0vEaWu-j8,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Alka Yagnik/Tb0vEaWu-j8_Alka Yagnik_Agar Tum Saath Ho_2015.flac,32160866.0,,2025-09-09 13:25:24,generated Alka Yagnik Agar Tum Saath Ho,0.85,Unknown,False
Lata Mangeshkar,Tera Mera Pyar Amar,Asli Naqli,Film,1962,Hindi,https://www.youtube.com/watch?v=tN9U0tkJnPs,tN9U0tkJnPs,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/tN9U0tkJnPs_Lata Mangeshkar_Tera Mera Pyar Amar_1962.flac,23659700.0,,2025-09-09 13:25:25,Lata Mangeshkar Tera Mera Pyar Amar voice clone 1962,0.65,Unknown,False
Lata Mangeshkar,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Film,1962,Hindi,https://www.youtube.com/watch?v=YHOpVcKfFJk,YHOpVcKfFJk,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/YHOpVcKfFJk_Lata Mangeshkar_Kahin Deep Jale Kahin Dil_1962.flac,89961025.0,,2025-09-09 13:25:28,Lata Mangeshkar Kahin Deep Jale Kahin Dil AI singing official,0.65,Unknown,False
Lata Mangeshkar,Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,Film,1965,Hindi,https://www.youtube.com/watch?v=qeD_KseeDdI,qeD_KseeDdI,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/qeD_KseeDdI_Lata Mangeshkar_Ye Samaa Samaa Hai Pyar Ka_1965.flac,14982543.0,,2025-09-09 13:25:42,Lata Mangeshkar Ye Samaa Samaa Hai Pyar Ka AI cover official,0.85,Unknown,True
Alka Yagnik,Poocho Zara Poocho,Raja Hindustani,Film,1996,Hindi,https://www.youtube.com/watch?v=_Ska5WGeoPw,_Ska5WGeoPw,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Alka Yagnik/_Ska5WGeoPw_Alka Yagnik_Poocho Zara Poocho_1996.flac,32669938.0,,2025-09-09 13:25:43,Alka Yagnik Poocho Zara Poocho AI version,0.7666666666666666,Unknown,False
Lata Mangeshkar,Aaj Phir Jeene Ki Tamanna Hai,Guide,Film,1965,Hindi,https://www.youtube.com/watch?v=h9-1TTIlphM,h9-1TTIlphM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/h9-1TTIlphM_Lata Mangeshkar_Aaj Phir Jeene Ki Tamanna Hai_1965.flac,34056711.0,,2025-09-09 13:25:45,Lata Mangeshkar Aaj Phir Jeene Ki Tamanna Hai deepfake,0.7166666666666667,Unknown,False
Shreya Ghoshal,Yeh Ishq Hai,Jab We Met,Film,2007,Hindi,https://www.youtube.com/watch?v=b_sCZbYyuO4,b_sCZbYyuO4,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/b_sCZbYyuO4_Shreya Ghoshal_Yeh Ishq Hai_2007.flac,64813323.0,,2025-09-09 13:25:45,synthetic Shreya Ghoshal Yeh Ishq Hai,0.7,Unknown,False
Lata Mangeshkar,Lag Ja Gale Se Phir,Woh Kaun Thi,Film,1964,Hindi,https://www.youtube.com/watch?v=WICYx2S3cHE,WICYx2S3cHE,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/WICYx2S3cHE_Lata Mangeshkar_Lag Ja Gale Se Phir_1964.flac,31019878.0,,2025-09-09 13:25:46,Lata Mangeshkar Lag Ja Gale Se Phir generated,0.83,Unknown,True
Lata Mangeshkar,Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne,Film,1967,Hindi,https://www.youtube.com/watch?v=QhPEZhVAaxE,QhPEZhVAaxE,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/QhPEZhVAaxE_Lata Mangeshkar_Aaja Piya Tohe Pyar Doon_1967.flac,27153301.0,,2025-09-09 13:25:46,Lata Mangeshkar Aaja Piya Tohe Pyar Doon AI cover official,0.65,Unknown,False
Lata Mangeshkar,Bahon Mein Chale Aao,Anamika,Film,1973,Hindi,https://www.youtube.com/watch?v=LjgOXSZ1Ydw,LjgOXSZ1Ydw,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/LjgOXSZ1Ydw_Lata Mangeshkar_Bahon Mein Chale Aao_1973.flac,42696688.0,,2025-09-09 13:25:46,AI singing Lata Mangeshkar Bahon Mein Chale Aao,0.8,Unknown,True
Shreya Ghoshal,Teri Ore,Singh Is Kinng,Film,2008,Hindi,https://www.youtube.com/watch?v=vh41WYiZ3F4,vh41WYiZ3F4,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/vh41WYiZ3F4_Shreya Ghoshal_Teri Ore_2008.flac,70798293.0,,2025-09-09 13:25:46,Shreya Ghoshal Teri Ore synthesized Hindi,0.75,Unknown,False
Alka Yagnik,Paayal Meri,Rajkumar,Film,1996,Hindi,https://www.youtube.com/watch?v=1cLcQi9atok,1cLcQi9atok,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Alka Yagnik/1cLcQi9atok_Alka Yagnik_Paayal Meri_1996.flac,75490853.0,,2025-09-09 13:25:47,voice clone Alka Yagnik Paayal Meri,0.65,Unknown,False
Lata Mangeshkar,Piya Tose Naina Laage Re,Guide,Film,1965,Hindi,https://www.youtube.com/watch?v=_lgACMqCpus,_lgACMqCpus,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/_lgACMqCpus_Lata Mangeshkar_Piya Tose Naina Laage Re_1965.flac,74724198.0,,2025-09-09 13:25:47,AI cover Lata Mangeshkar Piya Tose Naina Laage Re,0.7100000000000001,Unknown,False
Shaan,Bolo Bolo,Rehnaa Hai Terre Dil Mein,Film,2001,Hindi,https://www.youtube.com/watch?v=5CH0PQR2cLY,5CH0PQR2cLY,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shaan/5CH0PQR2cLY_Shaan_Bolo Bolo_2001.flac,20184958.0,,2025-09-09 13:25:54,AI cover Shaan Bolo Bolo,0.8500000000000001,Unknown,False
Shreya Ghoshal,Leja Leja Re,Ustad & The Divas,Non-film,2008,Hindi,https://www.youtube.com/watch?v=EqHbN1PZ-zw,EqHbN1PZ-zw,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/EqHbN1PZ-zw_Shreya Ghoshal_Leja Leja Re_2008.flac,2280179.0,,2025-09-09 13:25:56,deepfake Shreya Ghoshal Leja Leja Re,0.65,Unknown,False
Udit Narayan,Ram Jaane (Sad),Ram Jaane,Film,1995,Hindi,https://www.youtube.com/watch?v=zSVy-QuzF_k,zSVy-QuzF_k,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Udit Narayan/zSVy-QuzF_k_Udit Narayan_Ram Jaane (Sad)_1995.flac,6175044.0,,2025-09-09 13:25:57,AI cover Udit Narayan Ram Jaane (Sad),0.6833333333333333,Unknown,False
Shaan,Suno Na,Jhankaar Beats,Film,2003,Hindi,https://www.youtube.com/watch?v=B9Csw8BAy_8,B9Csw8BAy_8,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shaan/B9Csw8BAy_8_Shaan_Suno Na_2003.flac,20626654.0,,2025-09-09 13:25:57,Shaan Suno Na AI cover,0.75,Unknown,False
Shaan,Mere Samnewali Khidki Mein,Dil Vil Pyar Vyar,Film,2002,Hindi,https://www.youtube.com/watch?v=Eu16Ayw90lk,Eu16Ayw90lk,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shaan/Eu16Ayw90lk_Shaan_Mere Samnewali Khidki Mein_2002.flac,53588993.0,,2025-09-09 13:25:59,Shaan Mere Samnewali Khidki Mein synthesized Hindi,0.65,Unknown,False
Himesh Reshammiya,Tera Surroor,,Non-film,2006,Hindi,https://www.youtube.com/watch?v=DULrvDVqyXI,DULrvDVqyXI,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Himesh Reshammiya/DULrvDVqyXI_Himesh Reshammiya_Tera Surroor_2006.flac,42259442.0,,2025-09-09 13:26:00,Himesh Reshammiya Tera Surroor synthesized official,0.7,Unknown,False
Himesh Reshammiya,Naam Hai Tera,,Non-film,2006,Hindi,https://www.youtube.com/watch?v=PGpLVUbh3QI,PGpLVUbh3QI,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Himesh Reshammiya/PGpLVUbh3QI_Himesh Reshammiya_Naam Hai Tera_2006.flac,59659008.0,,2025-09-09 13:26:00,Himesh Reshammiya Naam Hai Tera AI singing 2006,0.75,Unknown,False
Himesh Reshammiya,Aap Ki Khatir,Aap Ki Khatir,Film,2006,Hindi,https://www.youtube.com/watch?v=s3iyGWvk_p0,s3iyGWvk_p0,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Himesh Reshammiya/s3iyGWvk_p0_Himesh Reshammiya_Aap Ki Khatir_2006.flac,46593746.0,,2025-09-09 13:26:00,AI singing Himesh Reshammiya Aap Ki Khatir,1.0,Unknown,True
Shreya Ghoshal,Aaj Dil Gustakh Hai,Blue,Film,2009,Hindi,https://www.youtube.com/watch?v=0TwvGedEeEk,0TwvGedEeEk,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/0TwvGedEeEk_Shreya Ghoshal_Aaj Dil Gustakh Hai_2009.flac,80101969.0,,2025-09-09 13:26:02,generated Shreya Ghoshal Aaj Dil Gustakh Hai,0.75,Unknown,False
Lata Mangeshkar,Sun Sahiba Sun,Ram Teri Ganga Maili,Film,1985,Hindi,https://www.youtube.com/watch?v=uMo_YAkzSas,uMo_YAkzSas,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/uMo_YAkzSas_Lata Mangeshkar_Sun Sahiba Sun_1985.flac,3089057.0,,2025-09-09 13:26:14,AI version Lata Mangeshkar Sun Sahiba Sun,1.0,Unknown,False
Lata Mangeshkar,Tere Bina Jiya Jaye Naa,Ghar,Film,1978,Hindi,https://www.youtube.com/watch?v=bV-KTgQrnfo,bV-KTgQrnfo,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/bV-KTgQrnfo_Lata Mangeshkar_Tere Bina Jiya Jaye Naa_1978.flac,40358671.0,,2025-09-09 13:26:18,Lata Mangeshkar Tere Bina Jiya Jaye Naa synthesized 1978,0.7100000000000001,Unknown,False
Lata Mangeshkar,Tujhse Naraz Nahin Zindagi,Masoom,Film,1983,Hindi,https://www.youtube.com/watch?v=T2V1lFQ62Is,T2V1lFQ62Is,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/T2V1lFQ62Is_Lata Mangeshkar_Tujhse Naraz Nahin Zindagi_1983.flac,34763076.0,,2025-09-09 13:26:18,Lata Mangeshkar Tujhse Naraz Nahin Zindagi AI cover official,0.65,Unknown,False
Lata Mangeshkar,Main Tere Ishq Mein,Loafer,Film,1973,Hindi,https://www.youtube.com/watch?v=MhdBR-sVZzU,MhdBR-sVZzU,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/MhdBR-sVZzU_Lata Mangeshkar_Main Tere Ishq Mein_1973.flac,41287466.0,,2025-09-09 13:26:19,AI version Lata Mangeshkar Main Tere Ishq Mein,0.75,Unknown,False
Lata Mangeshkar,Solah Baras Ki Bali Umar,Ek Duuje Ke Liye,Film,1981,Hindi,https://www.youtube.com/watch?v=7ZsNuidK73M,7ZsNuidK73M,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/7ZsNuidK73M_Lata Mangeshkar_Solah Baras Ki Bali Umar_1981.flac,78953408.0,,2025-09-09 13:26:20,Lata Mangeshkar Solah Baras Ki Bali Umar synthesized official,0.7100000000000001,Unknown,False
Lata Mangeshkar,Didi Tera Devar Deewana,Hum Aapke Hain Koun,Film,1994,Hindi,https://www.youtube.com/watch?v=vVKYDqM307w,vVKYDqM307w,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/vVKYDqM307w_Lata Mangeshkar_Didi Tera Devar Deewana_1994.flac,112045395.0,,2025-09-09 13:26:22,Lata Mangeshkar Didi Tera Devar Deewana voice clone 1994,0.75,Unknown,False
Lata Mangeshkar,Tune O Rangeele,Kudrat,Film,1981,Hindi,https://www.youtube.com/watch?v=UiYFj-HYXR4,UiYFj-HYXR4,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/UiYFj-HYXR4_Lata Mangeshkar_Tune O Rangeele_1981.flac,38953224.0,,2025-09-09 13:26:22,Lata Mangeshkar Tune O Rangeele voice clone,0.7833333333333333,Unknown,True
Alka Yagnik,Dil Laga Liya Maine,Dil Hai Tumhaara,Film,2002,Hindi,https://www.youtube.com/watch?v=cdSqD_OQFg0,cdSqD_OQFg0,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Alka Yagnik/cdSqD_OQFg0_Alka Yagnik_Dil Laga Liya Maine_2002.flac,88442982.0,,2025-09-09 13:26:36,Alka Yagnik Dil Laga Liya Maine generated,0.75,Unknown,False
Shreya Ghoshal,Bahara,I Hate Luv Storys,Film,2010,Hindi,https://www.youtube.com/watch?v=vWtPOrS1ci0,vWtPOrS1ci0,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/vWtPOrS1ci0_Shreya Ghoshal_Bahara_2010.flac,64496520.0,,2025-09-09 13:26:36,Shreya Ghoshal Bahara AI singing 2010,0.65,Unknown,False
Lata Mangeshkar,Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,Film,1995,Hindi,https://www.youtube.com/watch?v=yn-ew_QTXYE,yn-ew_QTXYE,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/yn-ew_QTXYE_Lata Mangeshkar_Mere Khwabon Mein_1995.flac,26820553.0,,2025-09-09 13:26:38,synthetic Lata Mangeshkar Mere Khwabon Mein,0.85,Unknown,True
Lata Mangeshkar,Yara Seeli Seeli,Lekin,Film,1990,Hindi,https://www.youtube.com/watch?v=Obar4XJQDIw,Obar4XJQDIw,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/Obar4XJQDIw_Lata Mangeshkar_Yara Seeli Seeli_1990.flac,47933237.0,,2025-09-09 13:26:39,Lata Mangeshkar Yara Seeli Seeli AI cover,0.75,Unknown,False
Asha Bhosle,Aaiye Meharban,Howrah Bridge,Film,1958,Hindi,https://www.youtube.com/watch?v=mQAY-6GuNdM,mQAY-6GuNdM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/mQAY-6GuNdM_Asha Bhosle_Aaiye Meharban_1958.flac,20213915.0,,2025-09-09 13:26:39,Asha Bhosle Aaiye Meharban deepfake official,0.75,Unknown,False
Asha Bhosle,Paan Khaye Saiyan Hamarao,Teesri Manzil,Film,1966,Hindi,https://www.youtube.com/watch?v=PPFIy9_Cr4U,PPFIy9_Cr4U,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/PPFIy9_Cr4U_Asha Bhosle_Paan Khaye Saiyan Hamarao_1966.flac,39856259.0,,2025-09-09 13:26:39,generated Asha Bhosle Paan Khaye Saiyan Hamarao,0.7000000000000001,Unknown,False
Lata Mangeshkar,Maye Ni Maye,Hum Aapke Hain Koun,Film,1994,Hindi,https://www.youtube.com/watch?v=WCgSiss7ABM,WCgSiss7ABM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/WCgSiss7ABM_Lata Mangeshkar_Maye Ni Maye_1994.flac,50101491.0,,2025-09-09 13:26:39,Lata Mangeshkar Maye Ni Maye synthesized,0.6833333333333333,Unknown,False
Lata Mangeshkar,Jane Kyon Log Mohabbat Kiya,Mehboob Ki Mehndi,Film,1971,Hindi,https://www.youtube.com/watch?v=-FLJZrtUQeE,-FLJZrtUQeE,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/-FLJZrtUQeE_Lata Mangeshkar_Jane Kyon Log Mohabbat Kiya_1971.flac,560762221.0,,2025-09-09 13:43:33,generated Lata Mangeshkar Jane Kyon Log Mohabbat Kiya,0.7000000000000001,Unknown,False
Asha Bhosle,Jhumka Gira Re,Mera Saaya,Film,1966,Hindi,https://www.youtube.com/watch?v=F9ECyBnLCDw,F9ECyBnLCDw,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/F9ECyBnLCDw_Asha Bhosle_Jhumka Gira Re_1966.flac,32335495.0,,2025-09-09 13:43:48,AI version Asha Bhosle Jhumka Gira Re,0.7833333333333334,Unknown,False
Asha Bhosle,Aao Huzoor Tumko,Kismet,Film,1968,Hindi,https://www.youtube.com/watch?v=qCjsPx4she0,qCjsPx4she0,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/qCjsPx4she0_Asha Bhosle_Aao Huzoor Tumko_1968.flac,48292556.0,,2025-09-09 13:43:49,Asha Bhosle Aao Huzoor Tumko synthesized,0.85,Unknown,True
Asha Bhosle,Parde Mein Rahne Do,Shikar,Film,1968,Hindi,https://www.youtube.com/watch?v=eG2e05brTFM,eG2e05brTFM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/eG2e05brTFM_Asha Bhosle_Parde Mein Rahne Do_1968.flac,53993681.0,,2025-09-09 13:43:49,Asha Bhosle Parde Mein Rahne Do AI cover,0.7,Unknown,True
Asha Bhosle,Raat Akeli Hai,Jewel Thief,Film,1967,Hindi,https://www.youtube.com/watch?v=crP9xCHqKRI,crP9xCHqKRI,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/crP9xCHqKRI_Asha Bhosle_Raat Akeli Hai_1967.flac,26154484.0,,2025-09-09 13:43:50,Asha Bhosle Raat Akeli Hai AI singing Hindi,0.75,Unknown,False
Asha Bhosle,Raat Ke Humsafar,An Evening In Paris,Film,1967,Hindi,https://www.youtube.com/watch?v=bR0kAB95JA4,bR0kAB95JA4,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Asha Bhosle/bR0kAB95JA4_Asha Bhosle_Raat Ke Humsafar_1967.flac,23914870.0,,2025-09-09 13:43:54,Asha Bhosle Raat Ke Humsafar voice clone,0.6666666666666666,Unknown,True
