"singer","title","film_album","film_or_nonfilm","year","Language","youtube_url","search_query_used","confidence_score","discovery_timestamp"
"Udit Narayan","Main Sehra Bandh Ke","Deewana Mujh Sa Nahin","Film","1990","Hindi","https://www.youtube.com/watch?v=cPq3IMS8W4w","Udit Narayan Main Sehra Bandh Ke Deewana Mujh Sa Nahin official","0.9249999999999999","2025-09-02 22:08:46"
"Javed Ali","Tu Hi Haqeeqat","Tum Mile","Film","2009","Hindi","https://www.youtube.com/watch?v=3QhajVg6SjE","Javed Ali Tu Hi Haqeeqat Tum Mile official","0.7","2025-09-02 22:08:46"
"Asif Akbar","Tumi Kotha Bolona","nan","Non-film","2002","Bengali","https://www.youtube.com/watch?v=-6vQc39jRWU","Asif Akbar Tumi Kotha Bolona nan official","0.6000000000000001","2025-09-02 22:08:47"
"Rupankar Bagchi","O Chand","nan","Non-film","2003","Bengali","https://www.youtube.com/watch?v=3qg5t1q6fMc","Rupankar Bagchi O Chand nan official","0.85","2025-09-02 22:08:47"
"Tulsi Kumar","Mere Khuda","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=tF0AeyhLeTI","Tulsi Kumar Mere Khuda Love Ho Jaaye official","0.6000000000000001","2025-09-02 22:08:47"
"Lata Mangeshkar","Pyar Kiya To Darna Kya","Mughal-E-Azam","Film","1960","Hindi","https://www.youtube.com/watch?v=FzVG01dDTCA","Lata Mangeshkar Pyar Kiya To Darna Kya Mughal-E-Azam official","0.8400000000000001","2025-09-02 22:08:47"
"Jubin Nautiyal","Bandeyaa","Jazbaa","Film","2015","Hindi","https://www.youtube.com/watch?v=TxqBNKdb204","Jubin Nautiyal Bandeyaa Jazbaa official","0.9999999999999999","2025-09-02 22:08:48"
"Shankar Mahadevan","Noor-E-Khuda","My Name Is Khan","Film","2010","Hindi","https://www.youtube.com/watch?v=L1uUzLcIzT8","Shankar Mahadevan Noor-E-Khuda official 2010","0.7000000000000001","2025-09-02 22:08:48"
"Babul Supriyo","Hain Nazuk Nazuk","nan","Non-film","1997","Hindi","https://www.youtube.com/watch?v=qG422_4EZuE","Babul Supriyo Hain Nazuk Nazuk nan official","0.7000000000000001","2025-09-02 22:08:48"
"Shaan","Tanha Dil","Tanha Dil","Non-film","2000","Hindi","https://www.youtube.com/watch?v=64KSVbMDr0c","Shaan Tanha Dil Tanha Dil official","0.9999999999999999","2025-09-02 22:08:48"
"Pankaj Udhas","Chhupana Bhi Nahi Aata","Baazigar","Film","1993","Hindi","https://www.youtube.com/watch?v=zmuLpB4cUzY","Pankaj Udhas Chhupana Bhi Nahi Aata Baazigar official","0.6","2025-09-02 22:08:48"
"Sukhwinder Singh","Mahiya","Dus","Film","1997","Hindi","https://www.youtube.com/watch?v=7OaW53bm7IU","Sukhwinder Singh Mahiya Dus official","0.6000000000000001","2025-09-02 22:08:48"
"Udit Narayan","Ruk Ja O Dil Deewane","Dilwale Dulhania Le Jayenge","Film","1995","Hindi","https://www.youtube.com/watch?v=Rjp9tE8fWHo","Udit Narayan Ruk Ja O Dil Deewane Dilwale Dulhania Le Jayenge official","0.88","2025-09-02 22:08:48"
"Javed Ali","Deewana Kar Raha Hai","Raaz 3","Film","2012","Hindi","https://www.youtube.com/watch?v=zXfjNcucTm4","Javed Ali Deewana Kar Raha Hai Raaz 3 official","0.9999999999999999","2025-09-02 22:08:49"
"Rupankar Bagchi","Ekdin","nan","Non-film","2006","Bengali","https://www.youtube.com/watch?v=8JOo8NYJ6gQ","Rupankar Bagchi Ekdin nan official","0.6","2025-09-02 22:08:50"
"Tulsi Kumar","Jaage Ab Raat Bhar","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=urbiKRxbBo4","Tulsi Kumar Jaage Ab Raat Bhar Love Ho Jaaye official","0.6000000000000001","2025-09-02 22:08:50"
"Babul Supriyo","Jadoo Bhari","Dastak","Film","1996","Hindi","https://www.youtube.com/watch?v=bsIF4KQZ5k0","Babul Supriyo Jadoo Bhari Dastak official","0.6000000000000001","2025-09-02 22:08:50"
"Jubin Nautiyal","Le Chala","One Night Stand","Film","2016","Hindi","https://www.youtube.com/watch?v=NTd-A1j4iss","Jubin Nautiyal Le Chala One Night Stand official","0.85","2025-09-02 22:08:50"
"Shankar Mahadevan","Zinda","Bhaag Milkha Bhaag","Film","2013","Hindi","https://www.youtube.com/watch?v=gdqFLjWU8x8","Shankar Mahadevan Zinda Bhaag Milkha Bhaag official","0.6","2025-09-02 22:08:50"
"Lata Mangeshkar","Aap Ki Nazron Ne Samjha","Anpadh","Film","1962","Hindi","https://www.youtube.com/watch?v=Kt91AjgLsw4","Lata Mangeshkar Aap Ki Nazron Ne Samjha Anpadh official","0.88","2025-09-02 22:08:50"
"Shaan","Apni Yaadon Ko","Pyaar Ishq Aur Mohabbat","Film","2001","Hindi","https://www.youtube.com/watch?v=k8Bk92-c7W8","Shaan Apni Yaadon Ko Pyaar Ishq Aur Mohabbat official","0.5","2025-09-02 22:08:50"
"Sukhwinder Singh","Dholna","Thakshak","Film","1999","Hindi","https://www.youtube.com/watch?v=N8kVbLlzMUM","Sukhwinder Singh Dholna Thakshak official","0.6","2025-09-02 22:08:50"
"Pankaj Udhas","Dil Deta Hai Ro Ro Dohai","Phir Teri Kahani Yaad Aayee","Film","1993","Hindi","https://www.youtube.com/watch?v=90wjn1CAckU","Pankaj Udhas Dil Deta Hai Ro Ro Dohai Phir Teri Kahani Yaad Aayee official","0.85","2025-09-02 22:08:51"
"Udit Narayan","Kya Kare Kya Na Kare","Rangeela","Film","1995","Hindi","https://www.youtube.com/watch?v=-mk_mvPQGkY","Udit Narayan Kya Kare Kya Na Kare Rangeela official","0.9400000000000001","2025-09-02 22:08:51"
"Tulsi Kumar","Tumhein Hum Pyaar Na Karte To","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=7vMKvnU_7TM","Tulsi Kumar Tumhein Hum Pyaar Na Karte To Love Ho Jaaye official","0.7999999999999999","2025-09-02 22:08:52"
"Jubin Nautiyal","The Sound Of Raaz","Raaz Reboot","Film","2016","Hindi","https://www.youtube.com/watch?v=2ZFVYBkCoSY","Jubin Nautiyal The Sound Of Raaz Raaz Reboot official","0.9249999999999999","2025-09-02 22:08:53"
"Babul Supriyo","Kaho Naa... Pyaar Hai (Sad Version)","Kaho Naa... Pyaar Hai","Film","2000","Hindi","https://www.youtube.com/watch?v=e3TFNC-FRUA","Babul Supriyo Kaho Naa... Pyaar Hai (Sad Version) Kaho Naa... Pyaar Hai official","0.75","2025-09-02 22:08:53"
"Shankar Mahadevan","Lakshya","Lakshya","Film","2004","Hindi","https://www.youtube.com/watch?v=dW5KUH5TR_Q","Shankar Mahadevan Lakshya Lakshya official","0.9999999999999999","2025-09-02 22:08:53"
"Sukhwinder Singh","Main Hindustan Hoon","Hindustan Ki Kasam","Film","1999","Hindi","https://www.youtube.com/watch?v=r_5iAWSloS0","Sukhwinder Singh Main Hindustan Hoon Hindustan Ki Kasam official","0.9999999999999999","2025-09-02 22:08:53"
"Pankaj Udhas","Na Kajre Ki Dhar","Mohra","Film","1994","Hindi","https://www.youtube.com/watch?v=tIALY5lEzfA","Pankaj Udhas Na Kajre Ki Dhar Mohra official","0.85","2025-09-02 22:08:53"
"Shaan","Bolo Bolo","Rehnaa Hai Terre Dil Mein","Film","2001","Hindi","https://www.youtube.com/watch?v=yJDNT2rCbv8","Shaan Bolo Bolo Rehnaa Hai Terre Dil Mein official","0.9999999999999999","2025-09-02 22:08:53"
"Udit Narayan","Tumne Agar Pyaar Se","Raja","Film","1995","Hindi","https://www.youtube.com/watch?v=5mPx95mNyZI","Udit Narayan Tumne Agar Pyaar Se Raja official","0.85","2025-09-02 22:08:54"
"Javed Ali","Shayaraana","Holiday","Film","2014","Hindi","https://www.youtube.com/watch?v=xsWs0qWQlzE","Javed Ali Shayaraana official 2014","0.6000000000000001","2025-09-02 22:08:54"
"Lata Mangeshkar","Kahin Deep Jale Kahin Dil","Bees Saal Baad","Film","1962","Hindi","https://www.youtube.com/watch?v=YHOpVcKfFJk","Lata Mangeshkar Kahin Deep Jale Kahin Dil Bees Saal Baad official","0.9999999999999999","2025-09-02 22:08:54"
"Tulsi Kumar","Wo Raatein","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=_LImU3IJefk","Tulsi Kumar Wo Raatein Love Ho Jaaye official","0.6000000000000001","2025-09-02 22:08:55"
"Jubin Nautiyal","Kuch Din","Kaabil","Film","2017","Hindi","https://www.youtube.com/watch?v=vmiloEv8iIw","Jubin Nautiyal Kuch Din Kaabil official","0.9999999999999999","2025-09-02 22:08:55"
"Shankar Mahadevan","Maa","Taare Zameen Par","Film","2007","Hindi","https://www.youtube.com/watch?v=r7RCB3LzFgQ","Shankar Mahadevan Maa Taare Zameen Par official","0.9999999999999999","2025-09-02 22:08:55"
"Sukhwinder Singh","Layi Vi Na Gayee","Chalte Chalte","Film","2003","Hindi","https://www.youtube.com/watch?v=QPlyigVPvb4","Sukhwinder Singh Layi Vi Na Gayee Chalte Chalte official","0.85","2025-09-02 22:08:55"
"Asif Akbar","Jhoro Patar Moto","nan","Non-film","2003","Bengali","https://www.youtube.com/watch?v=aSpZtHAynYc","Asif Akbar Jhoro Patar Moto song","0.5","2025-09-02 22:08:56"
"Pankaj Udhas","Aadmi Khilona Hai","Aadmi Khilona Hai","Film","1993","Hindi","https://www.youtube.com/watch?v=g4vfGQo9UYk","Pankaj Udhas Aadmi Khilona Hai Aadmi Khilona Hai official","0.9999999999999999","2025-09-02 22:08:56"
"Shaan","Mere Samnewali Khidki Mein","Dil Vil Pyar Vyar","Film","2002","Hindi","https://www.youtube.com/watch?v=lhTmRYbbduU","Shaan Mere Samnewali Khidki Mein Dil Vil Pyar Vyar official","0.9999999999999999","2025-09-02 22:08:56"
"Javed Ali","Maula","Wazir","Film","2015","Hindi","https://www.youtube.com/watch?v=PukqEK_CPaQ","Javed Ali Maula Wazir official","0.9999999999999999","2025-09-02 22:08:56"
"Udit Narayan","Ram Jaane (Sad)","Ram Jaane","Film","1995","Hindi","https://www.youtube.com/watch?v=pollhvgtXc8","Udit Narayan Ram Jaane (Sad) Ram Jaane official","0.9","2025-09-02 22:08:56"
"Lata Mangeshkar","Tera Mera Pyar Amar","Asli Naqli","Film","1962","Hindi","https://www.youtube.com/watch?v=tN9U0tkJnPs","Lata Mangeshkar Tera Mera Pyar Amar Asli Naqli official","0.9999999999999999","2025-09-02 22:08:57"
"Babul Supriyo","Suno Na","nan","Non-film","2002","Hindi","https://www.youtube.com/watch?v=6XHkdrymXe8","Babul Supriyo Suno Na official 2002","0.7000000000000001","2025-09-02 22:08:58"
"Tulsi Kumar","Aaj Ki Shaam (Lounge Mix)","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=4xO_6drWNzs","Tulsi Kumar Aaj Ki Shaam (Lounge Mix) Love Ho Jaaye official","0.7000000000000001","2025-09-02 22:08:58"
"Jubin Nautiyal","Tanha Tanha","Dil Jo Na Keh Saka","Film","2017","Hindi","https://www.youtube.com/watch?v=H1laBiGxYxY","Jubin Nautiyal Tanha Tanha Dil Jo Na Keh Saka official","0.9999999999999999","2025-09-02 22:08:58"
"Shaan","Suno Na","Jhankaar Beats","Film","2003","Hindi","https://www.youtube.com/watch?v=6ygKd72cQVc","Shaan Suno Na Jhankaar Beats official","0.85","2025-09-02 22:08:58"
"Shankar Mahadevan","Der Lagi Lekin","Zindagi Na Milegi Dobara","Film","2011","Hindi","https://www.youtube.com/watch?v=eDD1fK5eOjM","Shankar Mahadevan Der Lagi Lekin Zindagi Na Milegi Dobara official","0.6","2025-09-02 22:08:58"
"Asif Akbar","Tumi Sukhi Hou","nan","Non-film","2003","Bengali","https://www.youtube.com/watch?v=Y0raQHnBaoU","Asif Akbar Tumi Sukhi Hou nan official","0.8999999999999999","2025-09-02 22:08:58"
"Sukhwinder Singh","Nasha Hi Nasha","Nasha Hi Nasha Hai","Non-film","2000","Hindi","https://www.youtube.com/watch?v=nsKEmZt8uxo","Sukhwinder Singh Nasha Hi Nasha Nasha Hi Nasha Hai official","0.9","2025-09-02 22:08:58"
"Pankaj Udhas","Rishta Tera Mera","Jai Vikraanta","Film","1994","Hindi","https://www.youtube.com/watch?v=liH0PcJDZrA","Pankaj Udhas Rishta Tera Mera Jai Vikraanta official","0.9999999999999999","2025-09-02 22:08:58"
"Udit Narayan","Ho Nahi Sakta","Diljale","Film","1996","Hindi","https://www.youtube.com/watch?v=0vXTVXM6HEE","Udit Narayan Ho Nahi Sakta Diljale official","0.8","2025-09-02 22:08:58"
"Javed Ali","Naina Lade","Dabangg 3","Film","2019","Hindi","https://www.youtube.com/watch?v=v4xsFzCNJ2U","Javed Ali Naina Lade Dabangg 3 official","0.9999999999999999","2025-09-02 22:08:58"
"Lata Mangeshkar","Lag Ja Gale Se Phir","Woh Kaun Thi","Film","1964","Hindi","https://www.youtube.com/watch?v=QNkx29eckdY","Lata Mangeshkar Lag Ja Gale Se Phir Woh Kaun Thi official","0.82","2025-09-02 22:09:00"
"Rupankar Bagchi","Ei To Prithibi","Moner Manush","Film","2010","Bengali","https://www.youtube.com/watch?v=dlDHqK9EoPc","Rupankar Bagchi Ei To Prithibi song","0.7000000000000001","2025-09-02 22:09:00"
"Babul Supriyo","Sochta Hun","nan","Non-film","2003","Hindi","https://www.youtube.com/watch?v=6XHkdrymXe8","Babul Supriyo Sochta Hun nan official","0.9999999999999999","2025-09-02 22:09:00"
"Jubin Nautiyal","Lo Safar","Baaghi 2","Film","2018","Hindi","https://www.youtube.com/watch?v=ZGXxYm-SoYU","Jubin Nautiyal Lo Safar Baaghi 2 official","0.85","2025-09-02 22:09:00"
"Shankar Mahadevan","Manikarnika","Manikarnika – The Queen of Jhansi","Film","2019","Hindi","https://www.youtube.com/watch?v=A6zaHUD78js","Shankar Mahadevan Manikarnika Manikarnika – The Queen of Jhansi official","0.9999999999999999","2025-09-02 22:09:00"
"Sukhwinder Singh","Jashn","Jashn","Non-film","2001","Hindi","https://www.youtube.com/watch?v=YryEYlLr2rU","Sukhwinder Singh Jashn Jashn official","0.9999999999999999","2025-09-02 22:09:00"
"Asif Akbar","Amar Majhe Nei Ekhon Ami","Bipodjonok","Film","2005","Bengali","https://www.youtube.com/watch?v=TNJWSeNoyDI","Asif Akbar Amar Majhe Nei Ekhon Ami Bipodjonok official","0.6","2025-09-02 22:09:01"
"Shaan","Kuch Aisa Jahan","Bas Itna Sa Khwaab Hai","Film","2003","Hindi","https://www.youtube.com/watch?v=MpX-FAZp2Ao","Shaan Kuch Aisa Jahan Bas Itna Sa Khwaab Hai official","0.9999999999999999","2025-09-02 22:09:01"
"Pankaj Udhas","Aankh Mere Yaar Ki Dukhe","Ek Hi Raasta","Film","1993","Hindi","https://www.youtube.com/watch?v=PCx4HUfHj9w","Pankaj Udhas Aankh Mere Yaar Ki Dukhe Ek Hi Raasta official","0.88","2025-09-02 22:09:01"
"Udit Narayan","Jana Suno Hum Tum","Khamoshi: The Musical","Film","1996","Hindi","https://www.youtube.com/watch?v=sF9Ny7sjbuE","Udit Narayan Jana Suno Hum Tum Khamoshi: The Musical official","0.9999999999999999","2025-09-02 22:09:01"
"Javed Ali","Srivalli (Hindi)","Pushpa: The Rise","Film","2021","Hindi","https://www.youtube.com/watch?v=vfv4cATEMmo","Javed Ali Srivalli (Hindi) Pushpa: The Rise official","0.9999999999999999","2025-09-02 22:09:01"
"Lata Mangeshkar","Aaj Phir Jeene Ki Tamanna Hai","Guide","Film","1965","Hindi","https://www.youtube.com/watch?v=pvQaiXjNmKo","Lata Mangeshkar Aaj Phir Jeene Ki Tamanna Hai Guide official","0.9500000000000001","2025-09-02 22:09:01"
"Rupankar Bagchi","Gopone","Autograph","Film","2010","Bengali","https://www.youtube.com/watch?v=EM8W41YZfeo","Rupankar Bagchi Gopone Autograph official","0.7000000000000001","2025-09-02 22:09:02"
"Shankar Mahadevan","Ekadantaya Vakratundaya","nan","Non-film","2003","Hindi","https://www.youtube.com/watch?v=N9BADRk12tk","Shankar Mahadevan Ekadantaya Vakratundaya nan official","0.8999999999999999","2025-09-02 22:09:03"
"Jubin Nautiyal","Humnava Mere","nan","Non-film","2018","Hindi","https://www.youtube.com/watch?v=1npGUWpfEAc","Jubin Nautiyal Humnava Mere nan official","0.9999999999999999","2025-09-02 22:09:03"
"Shaan","Gum Sum Ho Kyon","nan","Non-film","2004","Hindi","https://www.youtube.com/watch?v=pvWSrue4uD0","Shaan Gum Sum Ho Kyon nan official","0.9249999999999999","2025-09-02 22:09:04"
"Sukhwinder Singh","Lagan Lagi","Tere Naam","Film","2003","Hindi","https://www.youtube.com/watch?v=CIr3TCIDAOs","Sukhwinder Singh Lagan Lagi Tere Naam official","0.8999999999999999","2025-09-02 22:09:04"
"Pankaj Udhas","Khuda Kare Mohabbat Mein","Sanam","Film","1997","Hindi","https://www.youtube.com/watch?v=MXqI2IVGztg","Pankaj Udhas Khuda Kare Mohabbat Mein Sanam official","0.9999999999999999","2025-09-02 22:09:04"
"Lata Mangeshkar","Piya Tose Naina Laage Re","Guide","Film","1965","Hindi","https://www.youtube.com/watch?v=_lgACMqCpus","Lata Mangeshkar Piya Tose Naina Laage Re Guide official","0.9400000000000001","2025-09-02 22:09:04"
"Udit Narayan","Ghar Se Nikalte Hi","Papa Kahte Hain","Film","1996","Hindi","https://www.youtube.com/watch?v=0NT-xmLX4tk","Udit Narayan Ghar Se Nikalte Hi Papa Kahte Hain official","0.85","2025-09-02 22:09:04"
"Javed Ali","Saathiya","Major (Hindi)","Film","2022","Hindi","https://www.youtube.com/watch?v=O79ciJI312g","Javed Ali Saathiya Major (Hindi) official","0.9999999999999999","2025-09-02 22:09:04"
"Rupankar Bagchi","Govire Jao","Baishe Srabon","Film","2011","Bengali","https://www.youtube.com/watch?v=KpXn-c1-zao","Rupankar Bagchi Govire Jao Baishe Srabon official","0.85","2025-09-02 22:09:05"
"Shankar Mahadevan","Sapnon Se Bhare Naina","Luck By Chance","Film","2009","Hindi","https://www.youtube.com/watch?v=UfNjLCD-WVM","Shankar Mahadevan Sapnon Se Bhare Naina Luck By Chance official","0.9249999999999999","2025-09-02 22:09:06"
"Babul Supriyo","Pyaar Aaya","Plan","Film","2004","Hindi","https://www.youtube.com/watch?v=YN0vDctyAcM","Babul Supriyo Pyaar Aaya official 2004","0.6000000000000001","2025-09-02 22:09:06"
"Asif Akbar","Bhalobashi Tomay","nan","Non-film","2006","Bengali","https://www.youtube.com/watch?v=WcbO1G8OV4k","Asif Akbar Bhalobashi Tomay official 2006","0.85","2025-09-02 22:09:06"
"Jubin Nautiyal","Tum Se","Jalebi","Film","2018","Hindi","https://www.youtube.com/watch?v=MgcHfnkVZ7U","Jubin Nautiyal Tum Se Jalebi official","0.85","2025-09-02 22:09:06"
"Shaan","Main Aisa Kyon Hoon","Lakshya","Film","2004","Hindi","https://www.youtube.com/watch?v=DEgheUgcCao","Shaan Main Aisa Kyon Hoon Lakshya official","0.9999999999999999","2025-09-02 22:09:06"
"Sukhwinder Singh","Chak De India","Chak De! India","Film","2007","Hindi","https://www.youtube.com/watch?v=bnqLzCsffwY","Sukhwinder Singh Chak De India Chak De! India official","0.8","2025-09-02 22:09:06"
"Lata Mangeshkar","Ye Samaa Samaa Hai Pyar Ka","Jab Jab Phool Khile","Film","1965","Hindi","https://www.youtube.com/watch?v=vN9OhBA0owc","Lata Mangeshkar Ye Samaa Samaa Hai Pyar Ka Jab Jab Phool Khile official","0.7000000000000001","2025-09-02 22:09:06"
"Pankaj Udhas","Ahista","nan","Non-film","1998","Hindi","https://www.youtube.com/watch?v=4eFNeWMjdaM","Pankaj Udhas Ahista nan official","0.9999999999999999","2025-09-02 22:09:06"
"Udit Narayan","Aaye Ho Meri Zindagi Mein (Male)","Raja Hindustani","Film","1996","Hindi","https://www.youtube.com/watch?v=Yh7JgHdlLGo","Udit Narayan Aaye Ho Meri Zindagi Mein (Male) Raja Hindustani official","0.9500000000000001","2025-09-02 22:09:07"
"Rupankar Bagchi","Hridoyer Taan","Hemlock Society","Film","2012","Bengali","https://www.youtube.com/watch?v=WSdqrd5vh4U","Rupankar Bagchi Hridoyer Taan Hemlock Society official","0.7000000000000001","2025-09-02 22:09:07"
"Tulsi Kumar","Aafreen (Female Version)","Kajraare","Film","2010","Hindi","https://www.youtube.com/watch?v=2zGrzpLSkVw","Tulsi Kumar Aafreen (Female Version) song","0.8","2025-09-02 22:09:08"
"Shaan","Aksar","nan","Non-film","2006","Hindi","https://www.youtube.com/watch?v=rEpfftr_Zgg","Shaan Aksar nan official","0.6000000000000001","2025-09-02 22:09:08"
"Babul Supriyo","Tumse Milne","nan","Non-film","2005","Hindi","https://www.youtube.com/watch?v=Q97LLDLxE98","Babul Supriyo Tumse Milne nan official","0.5","2025-09-02 22:09:08"
"Asif Akbar","Bachbo Na","nan","Non-film","2008","Bengali","https://www.youtube.com/watch?v=QPOL-DvBTWo","Asif Akbar Bachbo Na nan official","0.85","2025-09-02 22:09:08"
"Pankaj Udhas","Ghungroo Toot Gaye","nan","Non-film","2000","Hindi","https://www.youtube.com/watch?v=mCq3y9NJVe4","Pankaj Udhas Ghungroo Toot Gaye nan official","0.7000000000000001","2025-09-02 22:09:09"
"Javed Ali","Khudaya Khair (Solo Version)","Billu","Film","2009","Hindi","https://www.youtube.com/watch?v=tL4y98OSFNo","Javed Ali Khudaya Khair (Solo Version) official 2009","0.7000000000000001","2025-09-02 22:09:09"
"Jubin Nautiyal","Phir Mulaaqat","Why Cheat India","Film","2019","Hindi","https://www.youtube.com/watch?v=qMn7vkmMqRY","Jubin Nautiyal Phir Mulaaqat Why Cheat India official","0.9999999999999999","2025-09-02 22:09:09"
"Lata Mangeshkar","Aaja Piya Tohe Pyar Doon","Baharon Ke Sapne","Film","1967","Hindi","https://www.youtube.com/watch?v=VPfhI-6UnUg","Lata Mangeshkar Aaja Piya Tohe Pyar Doon Baharon Ke Sapne official","0.9999999999999999","2025-09-02 22:09:09"
"Sukhwinder Singh","Haule Haule","Rab Ne Bana Di Jodi","Film","2008","Hindi","https://www.youtube.com/watch?v=SN07t2cr2pA","Sukhwinder Singh Haule Haule Rab Ne Bana Di Jodi official","0.9999999999999999","2025-09-02 22:09:09"
"Rupankar Bagchi","E Tumi Kemon Tumi","Jaatishwar","Film","2014","Bengali","https://www.youtube.com/watch?v=B_ucVJpcHVc","Rupankar Bagchi E Tumi Kemon Tumi Jaatishwar official","0.525","2025-09-02 22:09:10"
